Question,Option A,Option B,Option C,Option D,Correct Answer
"What is the increased fee for driver’s licenses as of July 1, 2023?",a) $5.50,b) $6.75,c) $8.00,d) $7.25,b) $6.75
"As of October 1, 2023, what is the filing fee for a renewal application?",a) $10,b) $12,c) $11,d) $16,c) $11
What is the 'Driver’s License for All' law?,a) Allows any resident to apply for a REAL ID,b) Permits all Minnesotans to obtain a driver’s license regardless of immigration status,c) Eliminates the need for a written test for new residents,d) Introduces stricter residency requirements for licenses,b) Permits all Minnesotans to obtain a driver’s license regardless of immigration status
What score is required to pass the Minnesota written driving test?,a) 70%,b) 75%,c) 80%,d) 85%,c) 80%
How many written tests can you take in one day?,a) One,b) Two,c) Three,d) Unlimited,a) One
What must a person under 18 present to take the written test?,a) Proof of vehicle insurance,b) A 'White Card' from a behind-the-wheel course,c) A 'Blue Card' or 'Pink Card' from an approved driver education course,d) A parent’s signed consent form,c) A 'Blue Card' or 'Pink Card' from an approved driver education course
What is the fee for taking a third road test after failing twice?,a) $10,b) $15,c) $20,d) $25,c) $20
Which of the following actions would cause immediate failure during a road test?,a) Driving 5 mph over the speed limit,b) Failing to parallel park properly,c) Disobeying a traffic law,d) Forgetting to signal a turn,c) Disobeying a traffic law
How long is an instruction permit valid in Minnesota?,a) One year,b) Two years,c) Three years,d) Six months,b) Two years
What restrictions apply to drivers under 18 with an instruction permit?,a) They cannot drive at night,b) They must have a licensed driver aged 21 or older in the front passenger seat,c) They cannot use cruise control,d) They cannot exceed 50 mph,b) They must have a licensed driver aged 21 or older in the front passenger seat
What are the nighttime driving restrictions during the first six months of holding a provisional license?,a) No driving after 9:00 PM,b) No driving after midnight,c) No driving after 10:00 PM,d) No driving after 5:00 AM,b) No driving after midnight
How many hours of supervised driving are required if the parent does not attend the supplemental parent class?,"a) 40 hours, 10 of which are nighttime hours","b) 50 hours, 10 of which are nighttime hours","c) 50 hours, 15 of which are nighttime hours","d) 40 hours, 15 of which are nighttime hours","c) 50 hours, 15 of which are nighttime hours"
What must an unlicensed teen driver do to regain their driving privileges under Vanessa’s Law?,a) Complete 40 hours of supervised driving,b) Pay reinstatement fees and hold an instruction permit for six months,c) Retake the road test only,d) Attend a defensive driving course,b) Pay reinstatement fees and hold an instruction permit for six months
At what age can a driver affected by Vanessa’s Law apply for a full driver’s license?,a) 16,b) 17,c) 18,d) 21,c) 18
What is the minimum depth required for tire treads to be legal?,a) 1/8 inch,b) 1/16 inch,c) 1/4 inch,d) 3/16 inch,b) 1/16 inch
What conditions must a windshield and windows meet to ensure visibility?,a) Free from cracks and cleaned once a month,"b) Free from cracks, discoloration, frost, and snow",c) Treated with reflective material,d) Properly tinted for safety,"b) Free from cracks, discoloration, frost, and snow"
What document must you bring when applying for a REAL ID?,a) Two proofs of residency,"b) One document proving identity, date of birth, and legal presence",c) Proof of vehicle insurance,d) A Social Security Card,"b) One document proving identity, date of birth, and legal presence"
What is the minimum vision standard required to pass the vision screening?,a) 20/30,b) 20/50,c) 20/40,d) 20/20,c) 20/40
